club,"age","players used","% foreigners playing time","Stadium size","avg attendance abs","occupancy","covid","covid occupancy","season"
Alaves,"28.0","29","0.211","19840","0","0.80085686","1","0","2020/21"
Ath Bilbao,"26.4","25","0.01","53289","0","0.76901424","1","0","2020/21"
Ath Madrid,"27.0","25","0.701","68456","0","0.83723852","1","0","2020/21"
Barcelona,"25.8","25","0.646","99354","0","0.74066469","1","0","2020/21"
Betis,"27.7","25","0.486","59378","0","0.82217319","1","0","2020/21"
Cadiz,"28.6","33","0.364","21094","0","0.53645586422","1","0","2020/21"
Celta,"26.0","28","0.377","29000","0","0.60455172","1","0","2020/21"
Eibar,"28.3","29","0.419","8164","0","0.7421607","1","0","2020/21"
Elche,"28.1","29","0.281","33732","0","0.2023894225","1","0","2020/21"
Getafe,"26.7","28","0.608","16800","0","0.70154762","1","0","2020/21"
Granada,"27.2","33","0.537","19336","0","0.84459040","1","0","2020/21"
Huesca,"27.6","27","0.174","7800","0","0.6191025641","1","0","2020/21"
Levante,"28.0","27","0.284","25354","0","0.76074781","1","0","2020/21"
Osasuna,"28.1","26","0.144","18761","0","0.82847396","1","0","2020/21"
Real Madrid,"27.3","28","0.727","9000","0","0.82516904","1","0","2020/21"
Sevilla,"27.8","26","0.684","43883","0","0.83321560","1","0","2020/21"
Sociedad,"24.6","29","0.196","39500","0","0.78455696","1","0","2020/21"
Valencia,"24.7","29","0.568","48600","0","0.82973251","1","0","2020/21"
Valladolid,"27.7","31","0.244","27618","0","0.71869795","1","0","2020/21"
Villarreal,"27.1","27","0.183","23500","0","0.70412766","1","0","2020/21"
Angers,"27.1","27","0.414","16381","5237","0.59978023","1","0","2020/21"
Bordeaux,"26.9","27","0.487","42052","4658","0.55716732","1","0","2020/21"
Brest,"25.3","26","0.191","15097","4692","0.90859111","1","0","2020/21"
Dijon,"25.6","29","0.668","16098","3460","0.78929059","1","0","2020/21"
Lens,"25.8","24","0.416","38223","4961","0.64644324098","1","0","2020/21"
Lille,"24.5","21","0.624","50186","4050","0.72641773","1","0","2020/21"
Lorient,"26.3","27","0.287","19010","4819","0.42824829037","1","0","2020/21"
Lyon,"25.0","28","0.774","59186","3030","0.79915859","1","0","2020/21"
Marseille,"26.8","31","0.459","67394","809","0.78352672","1","0","2020/21"
Monaco,"24.5","30","0.371","18523","2074","0.35852724","1","0","2020/21"
Metz,"25.1","25","0.741","26700","4866","0.62108614","1","0","2020/21"
Montpellier,"27.5","23","0.404","32939","3635","0.42949088","1","0","2020/21"
Nantes,"25.6","25","0.414","37463","3356","0.67263700","1","0","2020/21"
Nice,"23.0","31","0.427","36178","1000","0.53140030","1","0","2020/21"
Nimes,"25.4","30","0.41","18364","3082","0.68367458","1","0","2020/21"
Paris SG,"26.3","31","0.783","49691","2752","0.95186251","1","0","2020/21"
Reims,"24.0","27","0.81","21684","4175","0.59638443","1","0","2020/21"
Rennes,"25.1","29","0.31","29778","3531","0.86953456","1","0","2020/21"
St Etienne,"24.7","37","0.362","42000","2783","0.57919048","1","0","2020/21"
Strasbourg,"26.5","24","0.411","29000","4689","0.85882759","1","0","2020/21"
Atalanta,"27.0","30","0.773","22512","0","0.79162225","1","0","2020/21"
Benevento,"28.3","26","0.381","16867","0","0.71927432264","1","0","2020/21"
Bologna,"26.5","32","0.728","36462","0","0.63227470","1","0","2020/21"
Cagliari,"25.9","31","0.644","16416","0","0.95516569","1","0","2020/21"
Crotone,"27.4","29","0.595","16640","0","0.63587740384","1","0","2020/21"
Fiorentina,"26.6","30","0.731","47282","0","0.74427901","1","0","2020/21"
Genoa,"27.8","33","0.453","36599","0","0.61091833","1","0","2020/21"
Verona,"25.7","30","0.468","39211","0","0.46155416","1","0","2020/21"
Inter,"28.1","23","0.738","75923","1000","0.86666754","1","0","2020/21"
Juventus,"26.8","28","0.77","41507","0","0.95600742","1","0","2020/21"
Lazio,"28.9","27","0.754","73261","0","0.52686968","1","0","2020/21"
Milan,"24.1","29","0.7","75923","1000","0.71068056","1","0","2020/21"
Napoli,"26.9","25","0.72","54726","0","0.57391368","1","0","2020/21"
Parma,"27.4","37","0.693","22352","0","0.72852541","1","0","2020/21"
Roma,"26.6","26","0.668","73261","0","0.53776225","1","0","2020/21"
Sampdoria,"27.7","26","0.561","36348","0","0.55238252","1","0","2020/21"
Sassuolo,"26.3","27","0.569","21584","0","0.57695515","1","0","2020/21"
Spezia,"25.1","34","0.497","10336","0","0.37838622291","1","0","2020/21"
Torino,"26.6","28","0.619","27994","0","0.76373509","1","0","2020/21"
Udinese,"27.2","30","0.851","25144","0","0.87153993","1","0","2020/21"
Anderlecht,"22.7","36","0.61","21500","0","0.90088372","1","0","2020/21"
Antwerp,"27.2","31","0.623","15402","0","0.80599922","1","0","2020/21"
Beerschot VA,"26.4","26","0.49","12771","0","0.48680604494","1","0","2020/21"
Cercle Brugge,"23.4","29","0.822","29062","2000","0.16014039","1","0","2020/21"
Charleroi,"27.2","30","0.76","15000","0","0.65533333","1","0","2020/21"
Club Brugge,"25.3","28","0.612","29062","0","0.86931388","1","0","2020/21"
Eupen,"26.9","29","0.63","8363","0","0.39411694","1","0","2020/21"
Genk,"24.1","26","0.823","24956","0","0.72924347","1","0","2020/21"
Gent,"26.1","30","0.627","19999","0","0.91079554","1","0","2020/21"
Kortrijk,"26.6","31","0.59","9399","0","0.70071284","1","0","2020/21"
Mechelen,"26.3","25","0.423","16672","0","0.92868282","1","0","2020/21"
Mouscron,"25.2","29","0.84","10830","0","","1","0","2020/21"
Oostende,"24.2","24","0.599","8432","0","0.56593928","1","0","2020/21"
Oud-Heverlee Leuven,"26.1","36","0.631","10020","0","0.4239520958","1","0","2020/21"
St Truiden,"25.3","32","0.757","14600","0","0.38568493","1","0","2020/21"
Standard,"24.2","31","0.546","27670","0","0.89049512","1","0","2020/21"
Waasland-Beveren,"24.4","36","0.547","13290","0","0.31519940","1","0","2020/21"
Waregem,"26.6","26","0.548","12250","0","0.64097959","1","0","2020/21"
Den Haag,"24.0","34","0.36","15000","3378","0.80006667","1","0","2020/21"
Ajax,"24.5","29","0.541","54990","13500","0.97003092","1","0","2020/21"
AZ Alkmaar,"23.4","24","0.401","17023","3500","0.64342360","1","0","2020/21"
FC Emmen,"26.2","32","0.399","8309","2405","0.98254904","1","0","2020/21"
Feyenoord,"26.1","29","0.337","47500","13000","0.95812632","1","0","2020/21"
For Sittard,"25.2","29","0.588","12500","2913","0.63800000","1","0","2020/21"
Groningen,"23.5","27","0.517","22550","6049","0.81157428","1","0","2020/21"
Heerenveen,"23.4","23","0.317","27224","5250","0.67903321","1","0","2020/21"
Heracles,"23.9","26","0.506","12400","2892","0.83120968","1","0","2020/21"
Zwolle,"24.8","26","0.368","14000","2963","0.95407143","1","0","2020/21"
PSV Eindhoven,"23.5","34","0.566","35000","8000","0.96071429","1","0","2020/21"
Waalwijk,"24.9","27","0.67","7508","1967","0.75679275","1","0","2020/21"
Sparta Rotterdam,"25.9","22","0.365","11026","3934","0.91130056","1","0","2020/21"
Twente,"22.9","28","0.428","30205","8000","0.89925509","1","0","2020/21"
Utrecht,"25.4","30","0.233","23750","5000","0.81844211","1","0","2020/21"
Vitesse,"24.2","25","0.646","21248","4914","0.68575866","1","0","2020/21"
VVV Venlo,"26.9","29","0.578","8000","1435","0.82250000","1","0","2020/21"
Willem II,"24.3","30","0.633","14700","3908","0.92367347","1","0","2020/21"
Belenenses,"26.1","24","0.386","37593","0","0.09584231","1","0","2020/21"
Benfica,"26.7","31","0.787","65000","0","0.80736923","1","0","2020/21"
Boavista,"23.7","24","0.86","28263","0","0.42769699","1","0","2020/21"
Sp Braga,"26.2","30","0.519","30286","0","0.34956746","1","0","2020/21"
